2026-04-12 17:51:51.991 [info] Mapped {/monitor/operlog/export, POST} route
2026-04-12 17:51:51.991 [info] Mapped {/goods/category, POST} route
2026-04-12 17:51:51.991 [info] Mapped {/goods/category/list, GET} route
2026-04-12 17:51:51.991 [info] Mapped {/goods/category/tree, GET} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/category/:categoryId, GET} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/category, PUT} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/category/:categoryId, DELETE} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/craftsmanship, POST} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/craftsmanship/list, GET} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/craftsmanship/:craftsmanshipId, GET} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/craftsmanship, PUT} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/craftsmanship/:craftsmanshipId, DELETE} route
2026-04-12 17:51:51.992 [info] Mapped {/goods/class, POST} route
2026-04-12 17:51:51.993 [info] Mapped {/goods/class/list, GET} route
2026-04-12 17:51:51.993 [info] Mapped {/goods/class/:classId, GET} route
2026-04-12 17:51:51.993 [info] Mapped {/goods/class, PUT} route
2026-04-12 17:51:51.993 [info] Mapped {/goods/class/:classId, DELETE} route
2026-04-12 17:54:31.429 [info] Mapped {/login, POST} route
2026-04-12 17:54:31.430 [info] Mapped {/logout, POST} route
2026-04-12 17:54:31.430 [info] Mapped {/register, POST} route
2026-04-12 17:54:31.430 [info] Mapped {/registerUser, GET} route
2026-04-12 17:54:31.431 [info] Mapped {/captchaImage, GET} route
2026-04-12 17:54:31.431 [info] Mapped {/getInfo, GET} route
2026-04-12 17:54:31.431 [info] Mapped {/getRouters, GET} route
2026-04-12 17:54:31.431 [info] Mapped {/common/upload, POST} route
2026-04-12 17:54:31.431 [info] Mapped {/common/upload/chunk/uploadId, GET} route
2026-04-12 17:54:31.432 [info] Mapped {/common/upload/chunk, POST} route
2026-04-12 17:54:31.432 [info] Mapped {/common/upload/chunk/merge, POST} route
